,COT
152589,3.66
34583,35.408
34742,4.797
190601,45.974
96546,0.0
145829,4.005
100812,16.342
194514,48.967
112371,0.52
81765,0.0
72283,0.0
19878,49.959
54125,0.0
39038,4.741
91556,0.0
176282,19.155
187187,21.91
87918,0.0
114324,28.74
61630,0.0
115799,4.084
89366,0.0
144827,4.956
26914,18.177
21924,33.813
79117,0.0
99671,0.0
168946,21.163
135988,5.924
128534,4.313
159164,20.916
33878,48.821
11167,3.079
150001,19.734
108385,31.887
116364,9.087
4436,33.03
161004,4.078
181564,49.996
86727,0.0
125080,2.626
157369,38.629
46114,19.451
59683,0.0
31123,49.708
113311,28.937
148812,48.774
102473,2.457
13600,11.666
193808,35.005
188259,27.176
29480,12.82
165621,8.25
51018,0.0
127219,11.444
117481,9.397
94452,0.0
132990,29.839
121546,20.813
114362,8.52
53127,0.0
84438,0.0
71062,0.0
14384,7.631
68802,0.0
98477,0.0
191277,27.272
31557,4.048
33500,24.903
114663,21.152
138636,6.574
6178,28.115
79639,0.0
183859,13.893
132651,14.948
157593,39.407
80757,0.0
169095,44.332
178451,4.876
111145,14.565
100767,10.77
151949,26.978
181989,10.394
102403,2.109
58062,0.0
190579,32.053
123391,49.98
97030,0.0
177118,23.813
50909,0.0
176725,19.37
60116,0.0
113203,2.256
187203,38.354
183615,17.34
29211,48.436
33773,15.628
124383,3.325
192989,48.77
38537,15.284
171006,2.087
121816,4.883
147158,41.158
98999,0.0
147883,2.041
18322,15.483
45704,3.896
191697,39.112
28078,5.5
100033,32.548
6584,22.957
145359,4.976
182153,9.848
107900,3.918
167015,41.528
144737,25.46
140811,22.676
130207,3.072
175598,38.698
139785,23.433
102444,27.732
115595,21.758
167861,19.278
115825,48.456
154553,27.286
136155,17.808
119306,0.142
161867,47.428
150376,30.899
127961,9.333
124604,10.075
102127,1.266
178762,25.941
95060,0.0
29790,3.169
83595,0.0
142038,5.644
96270,0.0
93095,0.0
7177,21.531
163776,40.279
144300,21.757
168436,28.709
163972,8.06
41726,16.788
182520,19.01
196325,10.807
179596,49.941
184772,27.979
146432,4.712
121885,0.715
101375,4.206
143836,2.047
17572,10.875
124218,37.317
130693,11.526
45090,49.969
185707,16.021
29811,37.725
139851,4.647
150954,3.794
162407,48.412
165494,30.207
50462,0.0
82848,0.0
101888,5.412
78531,0.0
168648,49.245
59628,0.0
133205,18.679
95312,0.0
87847,0.0
142911,7.311
112224,6.813
109344,3.623
65447,0.0
91316,0.0
25808,3.47
124694,7.703
13782,26.81
49717,32.777
17489,1.894
184845,22.729
13637,10.154
146959,39.135
151360,12.136
197462,42.351
198494,1.574
57674,0.0
82536,0.0
179211,13.089
64445,0.0
11070,8.776
109578,19.566
161227,49.873
97170,0.0
118026,6.757
145868,1.163
34344,23.387
167032,45.662
9697,1.429
33445,3.2
198634,16.015
176336,16.445
17070,12.162
15205,28.309
190224,8.629
10657,8.712
132027,49.896
57877,0.0
129296,11.937
164857,29.043
8795,2.415
176397,8.202
105648,10.994
61196,0.0
51517,0.0
101305,20.717
125538,0.281
97853,0.0
187819,37.392
161794,10.02
156443,16.59
149749,49.451
172454,33.529
120722,14.484
97861,0.0
158787,32.059
36096,8.054
132767,17.276
94815,0.0
163027,41.915
45493,9.38
22552,11.958
33527,1.698
125139,0.93
42419,1.922
60361,0.0
180256,4.746
4797,13.414
27814,19.476
83650,0.0
62783,0.0
125870,15.973
99389,0.0
93579,0.0
192817,7.839
6998,10.866
64539,0.0
154919,15.223
77834,0.0
109739,9.655
91529,0.0
174448,48.693
177363,33.662
122166,24.569
49476,26.392
68612,0.0
27081,3.308
147740,28.016
187996,0.035
45933,24.968
143356,15.287
122606,6.998
195527,22.415
167790,41.594
22733,5.398
37827,12.496
6560,4.969
87131,0.0
84619,0.0
19067,19.794
142522,22.577
79992,0.0
10117,49.695
133250,49.246
133708,13.271
196140,49.615
67992,0.0
97828,0.0
128872,29.907
138184,26.099
126214,10.254
68875,0.0
167501,48.782
40780,9.422
94116,0.0
32946,17.349
184013,18.648
178793,20.358
119427,7.362
150645,49.821
60338,0.0
75865,0.0
123167,45.914
175464,9.279
28102,13.894
175538,24.925
98208,0.0
38293,38.3
77449,0.0
64055,0.0
114173,0.731
172671,26.354
139737,2.599
109481,16.587
77635,0.0
25532,48.825
50451,0.0
56572,0.0
119824,48.922
164970,14.821
44561,7.228
85610,0.0
119770,44.456
65034,0.0
107486,16.876
165816,22.715
90605,0.0
42060,22.938
19145,5.657
6217,46.307
29017,15.179
170000,49.229
179917,3.527
37559,0.835
179070,13.485
172171,24.98
55790,0.0
136593,41.567
162121,14.913
27887,13.099
122315,0.088
64869,0.0
26169,10.912
24060,40.284
119169,26.771
100773,36.209
55969,0.0
141978,15.64
4288,13.757
39736,4.315
158516,18.519
168613,15.046
51068,0.0
9755,30.378
35766,10.572
19335,9.193
112610,27.441
73968,0.0
186906,30.311
59881,0.0
118312,28.85
123979,23.83
47613,13.994
100811,3.67
70530,0.0
22554,35.331
187148,33.352
21633,10.235
71682,0.0
181473,19.15
198795,31.088
181707,7.945
53548,0.0
168191,49.277
9655,2.205
83000,0.0
59439,0.0
38014,8.71
78280,0.0
42735,2.367
117909,6.539
69999,0.0
181019,33.945
40097,3.354
56824,0.0
157102,22.706
679,2.049
198156,0.679
11977,8.138
81037,0.0
120876,10.839
66094,0.0
86453,0.0
131402,46.722
32265,7.351
122850,5.434
23042,18.256
145624,7.996
110081,1.219
87013,0.0
177813,16.778
17249,16.552
180644,49.171
12220,6.18
101624,9.676
167137,34.85
17289,17.854
3501,31.979
108589,3.051
154365,26.884
32754,44.044
1809,5.741
115295,12.192
5187,1.63
96085,0.0
141435,0.216
16045,9.656
85606,0.0
3762,9.539
184563,49.295
180343,1.786
7821,15.505
137342,49.332
33187,0.343
146848,8.157
137531,14.054
150328,28.06
123842,9.221
142306,11.735
7004,23.789
147868,17.288
98846,0.0
58681,0.0
62417,0.0
2621,6.022
193303,6.513
40733,30.564
8225,1.371
193823,47.466
46330,21.461
156132,26.872
115787,4.079
44185,5.726
1166,49.961
139928,3.644
148562,15.879
131975,19.589
837,16.67
191962,33.998
70087,0.0
139283,0.655
151301,19.817
127269,5.405
175831,38.079
132608,14.218
157197,6.982
193492,49.941
76918,0.0
78832,0.0
97686,0.0
98552,0.0
1557,5.329
67370,0.0
16983,27.817
8102,23.798
22405,12.169
162139,49.105
10000,1.519
26944,27.099
77872,0.0
11233,20.923
160133,25.209
14763,22.807
170354,31.901
144779,1.431
70326,0.0
72877,0.0
184292,49.993
89816,0.0
122081,6.156
114574,31.614
98779,0.0
51561,0.0
36633,9.037
2603,0.035
59409,0.0
49956,0.938
22669,4.092
128676,38.502
33158,8.859
1090,9.484
5602,1.478
23144,12.68
174600,43.703
192444,19.043
139005,10.916
82628,0.0
27522,37.794
134183,3.62
70580,0.0
89117,0.0
40667,14.655
59290,0.0
84901,0.0
199601,48.01
93182,0.0
131458,24.561
198317,1.581
119464,5.833
83705,0.0
118037,14.411
118202,30.096
159557,14.75
113343,20.431
26939,49.807
22002,3.239
199019,12.337
137979,3.071
5170,7.272
80910,0.0
143231,47.339
164396,39.613
113499,10.148
10004,34.553
103275,22.074
9774,7.151
78656,0.0
111154,0.835
22615,34.815
55274,0.0
7606,27.357
125902,11.934
4387,35.191
20188,0.179
121777,20.034
188806,26.625
101661,10.441
114883,11.444
1607,8.336
55213,0.0
81479,0.0
56335,0.0
2506,0.233
106778,13.42
108105,3.889
87164,0.0
186346,49.433
75474,0.0
24199,12.092
8934,22.282
2022,30.429
128038,49.392
196150,31.357
104826,4.298
91762,0.0
100316,15.736
154808,20.27
181812,8.187
3376,4.592
77197,0.0
16288,17.454
142893,7.767
21861,4.521
114837,9.669
12735,3.233
107515,1.987
162962,40.569
112701,2.854
9494,29.388
161392,38.653
123602,8.412
152224,19.095
12330,1.51
8267,5.904
176730,32.026
102951,2.329
176394,0.982
120125,26.509
117434,6.252
111890,21.897
99200,0.0
187928,46.098
162091,13.433
20333,0.618
163352,24.937
70144,0.0
191470,49.957
11686,2.901
60780,0.0
35092,23.905
143308,27.834
11171,17.599
137245,12.351
92082,0.0
187272,29.012
53167,0.0
135666,6.191
119651,43.68
35822,11.952
131761,16.657
57328,0.0
92427,0.0
174287,20.463
83767,0.0
100515,7.511
20550,22.945
4731,8.533
119134,17.744
40337,0.439
71422,0.0
27819,24.042
50270,0.0
191297,20.314
4782,33.328
120829,9.313
126681,49.891
25723,35.588
94187,0.0
13299,11.07
125805,10.864
53237,0.0
59799,0.0
146072,14.46
44481,5.706
186294,37.599
36058,14.271
60243,0.0
169892,49.984
162614,31.726
95309,0.0
110442,6.391
193740,10.865
192316,12.598
5427,2.061
79827,0.0
37139,1.876
35288,26.24
177450,7.652
10679,5.787
186356,26.293
36981,10.499
4956,5.004
196231,4.709
195603,31.76
27669,5.414
18713,49.957
151372,18.796
62626,0.0
56653,0.0
1299,20.951
175923,1.644
129504,1.467
168426,11.167
88369,0.0
11219,2.217
13373,46.218
107431,11.191
67292,0.0
11127,17.756
142537,27.032
46615,4.15
11825,17.179
19530,28.92
164356,3.833
81248,0.0
121375,11.42
169150,33.472
120776,23.29
91658,0.0
196015,22.364
82547,0.0
33431,34.968
12618,10.063
101152,10.065
61451,0.0
161837,45.072
110971,46.169
33099,49.789
168847,33.825
25012,26.194
197721,49.963
38322,17.411
49871,11.779
61079,0.0
175281,40.577
83763,0.0
154658,13.583
69807,0.0
101150,40.89
59575,0.0
108704,4.08
159490,49.805
51864,0.0
88638,0.0
122450,10.647
84946,0.0
67444,0.0
190965,25.879
8948,28.051
48649,0.244
10939,17.282
42980,49.528
157706,8.019
9501,21.178
108628,0.094
64083,0.0
61145,0.0
94478,0.0
13946,27.914
178846,46.244
151314,25.125
135148,15.12
12278,7.191
13398,0.026
38273,7.231
3150,49.719
161250,10.407
88317,0.0
33712,45.143
127119,8.103
168809,49.744
56415,0.0
85848,0.0
165861,28.284
142327,28.64
187916,14.008
87897,0.0
6547,12.245
197733,23.474
96618,0.0
184435,4.944
152208,24.126
153745,18.451
121043,31.871
179249,8.152
91027,0.0
184405,12.576
112842,24.412
27534,49.437
185047,49.017
86270,0.0
22612,33.479
105647,2.275
22235,43.523
139316,27.089
190458,23.735
143678,5.547
76525,0.0
68236,0.0
144559,4.256
76638,0.0
112191,0.776
175351,49.994
957,3.498
143425,20.575
115545,25.012
180128,8.24
103471,4.108
154712,6.728
193308,49.562
31646,18.415
166491,1.631
64126,0.0
27154,30.714
80424,0.0
155541,11.842
144468,6.902
170173,44.561
6239,23.798
178871,13.848
153402,16.324
139617,17.443
182221,2.022
326,15.56
99560,0.0
4761,3.622
17530,15.738
143914,20.44
173860,49.853
134662,20.139
77188,0.0
62335,0.0
83253,0.0
24977,14.687
54896,0.0
30560,3.72
13947,6.687
159716,48.756
48018,2.39
185289,49.805
104213,10.866
199212,49.714
165910,23.035
33006,0.54
192752,48.706
182995,6.458
178205,8.126
53159,0.0
195530,8.441
39646,0.734
64657,0.0
55557,0.0
97856,0.0
163544,19.252
10275,10.432
158587,48.923
178539,15.319
70893,0.0
128794,1.424
166207,7.793
175192,49.736
170213,24.678
178113,30.369
51860,0.0
182017,31.631
162701,31.974
50962,0.0
11184,5.866
10766,14.59
25697,12.846
106242,35.056
875,28.92
46850,13.052
166841,30.361
95369,0.0
111420,1.722
78977,0.0
197863,4.992
107579,6.686
34749,9.643
7619,3.722
59320,0.0
165227,3.032
13999,12.55
120933,20.474
122877,22.978
154584,8.468
172139,37.577
93057,0.0
3273,6.437
59972,0.0
104599,7.074
52260,0.0
195593,24.719
157681,11.561
93041,0.0
35903,9.811
87099,0.0
38391,20.261
16670,0.736
151960,48.309
197839,15.335
134653,14.054
29665,14.482
186569,3.057
162845,38.816
151706,28.707
108155,10.086
96801,0.0
104435,5.043
10261,6.456
121175,16.468
179707,17.058
141325,43.73
181758,32.82
91512,0.0
35277,21.151
158309,39.781
169043,14.418
195022,33.689
91495,0.0
19351,12.916
196841,13.38
8167,37.546
161260,17.77
124140,27.36
109158,36.868
27884,13.534
103130,8.114
174922,38.173
158977,49.582
86856,0.0
76553,0.0
142338,27.827
56799,0.0
128363,26.31
94845,0.0
191590,36.495
65065,0.0
190932,15.677
116846,44.469
162998,49.471
138980,9.347
105555,41.027
92249,0.0
172124,49.17
118432,1.0
194349,48.891
173637,49.405
151109,20.223
101089,49.967
16118,7.185
82748,0.0
58699,0.0
180381,14.691
76245,0.0
163991,25.854
127017,12.816
194423,3.228
111710,47.3
72671,0.0
42771,7.526
60995,0.0
146906,49.671
170,12.268
162538,49.977
55198,0.0
109141,13.375
17879,8.962
130929,6.119
146918,48.904
54843,0.0
115317,31.568
5359,11.363
55822,0.0
120912,14.082
99366,0.0
3249,3.177
177943,31.168
59524,0.0
162887,10.995
70402,0.0
186625,2.432
3584,15.43
133194,5.352
18603,6.009
144188,48.46
138124,20.694
79734,0.0
131858,36.842
151725,49.985
75826,0.0
40148,0.0
54188,0.0
73726,0.0
153106,0.448
29596,6.6
117880,6.131
29828,30.711
26365,9.495
50719,0.0
160950,7.497
110044,10.993
140308,0.517
138325,5.518
66060,0.0
192865,49.719
95917,0.0
15692,37.462
114080,20.225
76775,0.0
156049,29.133
188805,49.329
152323,2.259
154814,49.051
31025,3.788
194426,49.57
49025,1.047
75522,0.0
108150,3.854
143339,16.087
86357,0.0
6459,49.903
108045,1.507
27679,0.63
189692,49.394
196136,4.645
66654,0.0
502,2.53
149253,2.33
174774,21.761
167084,37.629
192576,35.574
54186,0.0
5050,6.583
21022,5.386
60211,0.0
31356,37.367
103777,4.811
166616,1.674
118407,25.988
59690,0.0
41506,7.933
186148,11.991
69026,0.0
122403,16.861
38642,21.346
195443,48.645
177061,25.685
93654,0.0
118652,7.77
98523,0.0
142965,3.721
155552,15.346
156677,25.801
104258,10.734
152946,26.449
185004,14.333
45083,42.072
198443,30.821
9183,24.396
142787,4.56
176840,10.416
199628,21.769
92420,0.0
84919,0.0
4339,1.804
115946,15.218
138403,7.961
89051,0.0
36768,7.838
135626,49.995
22889,14.502
189630,49.996
188434,20.91
2521,43.868
159148,6.827
180687,16.696
67665,0.0
80867,0.0
143498,14.208
131336,7.795
34878,4.678
13876,49.96
181498,49.926
191651,27.089
173282,24.932
57994,0.0
57558,0.0
37413,10.464
42061,48.615
145665,31.587
131147,8.33
186390,48.722
158916,48.534
123318,0.015
164500,20.896
49132,14.703
5492,49.968
62954,0.0
195703,48.337
192887,5.279
151135,46.746
124267,7.034
179479,49.532
8855,26.834
104853,13.234
187646,29.04
53060,0.0
89231,0.0
44273,28.284
110274,20.816
186953,1.496
106747,2.154
37837,22.097
119080,9.657
97125,0.0
190961,14.154
170109,33.387
118723,25.04
85235,0.0
20141,47.803
124565,11.272
71462,0.0
108112,23.787
95029,0.0
167024,0.554
11313,5.713
91960,0.0
187410,4.132
72342,0.0
130545,6.757
14984,25.654
36624,10.144
191434,9.685
84443,0.0
84542,0.0
179030,49.279
38602,48.796
84563,0.0
43917,5.595
20152,25.35
14869,12.481
71855,0.0
99491,0.0
194581,10.999
166213,5.109
103299,18.434
186139,3.311
143540,23.098
22997,13.422
62537,0.0
65894,0.0
21441,22.773
78208,0.0
64012,0.0
35291,13.113
176758,4.334
132071,4.809
27043,29.798
116791,5.053
181585,37.486
192940,29.055
4878,49.343
15520,28.771
71011,0.0
183669,38.412
54807,0.0
138510,7.059
95307,0.0
96417,0.0
127763,38.025
70736,0.0
19750,2.699
194652,38.884
190309,10.46
197572,23.508
18072,13.086
13262,6.771
77289,0.0
124276,3.654
92284,0.0
169070,35.422
127395,29.364
97296,0.0
159255,49.99
121623,11.066
14796,35.239
68028,0.0
175355,33.528
183372,40.973
1058,14.618
193456,40.153
61639,0.0
129424,14.242
154356,35.162
21768,8.133
175724,35.877
41520,32.919
116260,28.237
153369,15.345
91728,0.0
87348,0.0
157277,44.532
8185,1.669
82571,0.0
178550,7.566
39526,7.49
134675,37.117
93068,0.0
50410,0.0
133843,4.121
182721,49.249
147553,3.695
67371,0.0
138968,3.85
192635,44.631
184901,8.165
90887,0.0
29479,46.832
22330,2.013
1606,3.392
186209,14.135
181194,27.143
72182,0.0
103313,42.341
168335,48.652
161323,49.165
39754,2.612
46481,8.365
114243,33.775
25752,12.748
89545,0.0
136496,17.492
167091,13.893
193641,16.53
79169,0.0
76237,0.0
155580,49.931
149134,5.361
126347,14.901
109477,28.318
189465,23.535
73723,0.0
55665,0.0
182549,42.133
198069,9.85
98586,0.0
100220,8.926
65001,0.0
57936,0.0
833,22.155
150484,38.039
36216,9.74
8277,5.064
101906,35.496
44955,22.713
67670,0.0
164107,49.706
160359,48.489
87967,0.0
93240,0.0
19571,22.997
42847,9.804
83329,0.0
46640,0.207
160760,48.664
123305,5.593
46502,0.096
197627,5.39
175222,37.557
16741,4.138
142673,5.283
139489,10.516
44819,29.205
177252,7.134
48561,34.866
128574,3.071
159344,21.106
33962,2.098
119756,49.494
104860,48.8
151818,28.528
139548,5.557
111275,27.994
506,0.74
109439,27.312
66510,0.0
188262,15.806
85219,0.0
51427,0.0
55779,0.0
35736,5.608
183969,21.196
114334,5.478
27581,5.379
163056,2.606
7426,28.304
7272,4.997
82068,0.0
118526,20.884
15928,1.336
192510,33.673
125086,48.797
196910,1.381
53789,0.0
199384,25.805
186746,31.423
169794,49.962
78437,0.0
31396,6.666
183290,49.778
76705,0.0
112617,24.772
84348,0.0
109047,34.922
105873,20.917
85421,0.0
10697,9.696
42115,3.953
39779,20.643
162241,11.672
26643,7.418
122101,18.568
125126,0.383
133295,5.311
67945,0.0
42379,16.247
147871,0.758
84535,0.0
108928,18.079
199502,25.749
138580,4.364
159883,11.441
77858,0.0
101700,5.364
54965,0.0
115871,9.301
135252,9.67
125380,13.545
73839,0.0
112568,8.333
83683,0.0
145976,1.419
74630,0.0
5947,3.025
48076,3.871
85803,0.0
164279,26.108
107272,10.413
140698,11.723
116855,34.583
16674,5.717
49457,27.023
94832,0.0
191245,12.87
154571,37.039
187361,34.573
107816,21.388
10127,6.26
18269,2.057
140405,0.106
140008,22.528
63130,0.0
186418,24.433
130320,5.388
73934,0.0
56068,0.0
124368,15.787
4688,39.24
114396,14.129
147234,26.65
76798,0.0
64907,0.0
103712,4.782
146974,45.366
17758,12.259
160166,15.02
107253,35.893
121771,12.153
77567,0.0
52131,0.0
117611,4.47
173008,49.996
48305,22.031
11062,20.812
136174,18.832
60559,0.0
7018,20.517
136150,4.034
6784,6.963
171414,49.408
47757,3.317
42790,49.998
88640,0.0
109788,19.893
57057,0.0
12424,20.149
165542,7.273
112866,7.179
193937,9.23
142808,1.589
174002,33.658
11726,10.154
61680,0.0
113980,21.585
156989,11.645
141042,19.153
92583,0.0
52942,0.0
4823,26.454
67061,0.0
175325,48.682
93553,0.0
84958,0.0
13263,23.364
19009,19.753
19695,1.974
156893,8.974
152904,7.34
168875,25.847
108971,17.037
16503,22.414
9773,4.981
71351,0.0
17785,49.953
132184,26.975
147702,3.77
17520,8.112
87424,0.0
145164,10.426
165211,8.963
130531,8.541
43736,18.224
147665,12.674
141101,11.019
101517,3.651
135039,4.996
163820,7.515
119698,44.099
51742,0.0
49467,0.854
143155,40.649
45222,49.883
69033,0.0
12328,24.179
71821,0.0
199079,46.625
141905,7.582
40712,7.261
167105,31.357
90088,0.0
186870,44.747
106504,48.875
10246,13.365
120492,0.45
93513,0.0
97591,0.0
91586,0.0
116547,49.682
129697,8.759
105175,3.561
127755,12.178
172750,39.594
29947,3.409
189529,2.493
141263,6.317
129084,12.185
9296,48.849
136072,3.638
90501,0.0
90817,0.0
48219,4.18
51709,0.0
61897,0.0
101271,22.835
160042,46.322
89920,0.0
91166,0.0
78825,0.0
26166,38.385
9542,18.267
125364,24.393
196424,2.024
15407,27.638
31627,39.026
15779,22.717
77002,0.0
85696,0.0
59238,0.0
93474,0.0
189022,48.786
14202,0.457
105799,0.267
127906,15.527
35537,4.072
160161,19.14
72247,0.0
157120,23.548
60466,0.0
105252,9.506
125357,1.199
50555,0.0
81657,0.0
69309,0.0
136389,34.074
78910,0.0
106600,10.998
119829,16.105
85581,0.0
195038,21.897
118655,20.631
108611,10.836
161601,34.268
130845,40.037
93863,0.0
171083,49.736
123769,3.756
43571,4.363
115058,9.073
2878,12.409
37247,32.666
135139,49.368
6578,41.074
28010,48.435
31390,8.92
41289,0.655
50834,0.0
97009,0.0
186268,28.977
119383,3.917
15030,26.607
4046,6.202
133725,13.774
26339,3.157
41905,49.198
181853,22.656
180730,5.209
147896,36.865
163350,7.374
11551,38.694
199587,35.654
7926,19.05
51170,0.0
81356,0.0
105931,6.439
158765,21.101
70204,0.0
58728,0.0
1186,10.556
143982,4.103
53807,0.0
185724,13.459
3964,11.276
61531,0.0
115955,34.491
158782,24.867
150558,49.986
154380,49.267
59102,0.0
2039,22.563
10773,14.922
85364,0.0
1169,23.305
162995,19.885
199476,36.174
192608,1.886
75072,0.0
81201,0.0
22449,7.846
195446,13.759
90387,0.0
8366,3.927
132153,0.543
50813,0.0
96887,0.0
121374,44.391
111414,16.266
11098,23.456
169870,34.06
74888,0.0
23329,32.556
193345,0.582
141823,2.806
172511,20.847
75446,0.0
76336,0.0
138046,1.523
88181,0.0
5549,14.906
129445,1.587
118825,2.457
7588,0.825
84597,0.0
169890,49.524
13408,0.946
132715,10.885
7047,9.323
69019,0.0
83545,0.0
171360,25.407
89770,0.0
146415,17.305
188178,48.997
30132,41.589
116333,18.348
4025,49.277
69114,0.0
59816,0.0
138024,17.761
180373,20.894
158861,9.794
167452,21.004
154257,22.579
36080,1.006
74970,0.0
54998,0.0
59473,0.0
178119,28.715
43740,12.955
39089,3.627
16112,49.688
179798,49.84
196791,49.649
44286,13.739
150940,6.741
109599,12.393
33543,6.186
47336,8.803
42288,20.918
84003,0.0
117844,24.701
182873,11.987
29053,8.438
197483,3.86
20781,3.435
196256,19.456
46062,0.966
195349,15.845
8502,2.129
115827,2.19
36372,8.956
82789,0.0
81305,0.0
108305,16.641
27924,18.948
32682,47.139
19626,41.387
125316,7.84
178901,44.025
23758,33.253
110352,3.645
168848,6.559
137169,15.832
84712,0.0
127221,48.807
140380,4.52
33180,0.55
28399,5.91
29607,16.554
41301,4.331
22448,4.671
141651,30.486
172276,39.373
99285,0.0
116987,21.697
99216,0.0
132668,4.721
139642,40.214
164038,3.579
23080,14.034
7707,20.718
47485,2.177
51340,0.0
116691,3.824
149694,13.226
52559,0.0
52935,0.0
89867,0.0
158095,29.364
26496,0.533
67922,0.0
132158,35.796
194537,5.586
77404,0.0
54382,0.0
19060,5.039
54949,0.0
25167,9.333
93144,0.0
168121,28.285
27724,12.776
57853,0.0
118814,45.594
47699,3.015
125949,7.934
172375,10.463
6795,15.942
92444,0.0
44039,30.022
151795,30.193
11553,3.653
163825,25.234
179750,16.204
59003,0.0
131948,12.33
61210,0.0
70044,0.0
38028,8.84
7228,6.723
94833,0.0
37397,0.759
191393,8.254
137991,15.37
46445,11.904
19916,18.153
67353,0.0
114024,14.313
194299,49.889
101601,14.239
161244,7.714
38414,4.655
60649,0.0
110925,20.175
165668,49.837
191085,49.445
107013,40.513
31097,17.449
158100,45.961
61602,0.0
126803,3.053
165948,17.893
112140,26.042
97538,0.0
183736,37.204
26943,12.698
16364,48.819
191967,29.945
40698,26.78
109643,4.261
167979,49.999
198839,2.742
192261,49.992
105511,49.591
103316,0.544
95808,0.0
19745,6.038
55792,0.0
100551,3.215
193845,11.467
198501,14.932
141094,17.686
156551,13.736
169024,47.657
121541,3.436
139465,1.147
100282,0.712
91423,0.0
191715,0.262
151332,8.749
90588,0.0
96045,0.0
199972,32.042
146768,13.992
116854,0.489
136206,2.134
51106,0.0
71445,0.0
165422,23.985
113130,12.81
28287,6.236
109525,37.875
66083,0.0
42616,2.819
88694,0.0
199728,49.454
85216,0.0
52934,0.0
146504,40.042
94941,0.0
911,6.755
59959,0.0
70766,0.0
94170,0.0
82085,0.0
67205,0.0
98242,0.0
120602,14.855
34422,1.817
93220,0.0
131608,3.585
25405,1.275
153500,38.125
20230,38.171
121597,47.232
102509,9.712
111321,7.8
172919,19.114
141553,7.647
60774,0.0
79896,0.0
18796,6.18
181643,49.281
143986,27.689
165448,49.36
102612,43.664
126735,4.181
25338,9.564
107614,14.401
60027,0.0
188614,29.967
89714,0.0
42662,4.163
199991,31.264
20799,3.911
193319,45.228
18545,8.436
139207,29.982
57698,0.0
69086,0.0
1538,8.199
48013,4.165
37746,27.17
39245,24.789
13569,3.252
36928,6.139
143574,13.163
82476,0.0
183224,11.939
92495,0.0
